,Name,Latitude,Longitude,Cloudiness,Country,Date,Humidity,Max Temperature,Wind Speed
0,Rikitea,-23.12,-134.97,100,PF,1570421033,86,73.74,11.32
1,Ushuaia,-54.81,-68.31,40,AR,1570421038,80,35.6,12.75
2,Shelburne,44.08,-80.2,1,CA,1570421149,76,57.2,6.93
3,Butaritari,3.07,172.79,0,KI,1570421067,63,84.65,2.71
4,San Luis,-33.3,-66.34,0,AR,1570421150,36,66.56,22.64
5,Albany,42.65,-73.75,90,US,1570420813,82,66.2,10.29
6,Lebu,8.96,38.73,10,ET,1570421047,83,49.96,4.56
7,Flinders,-34.58,150.85,90,AU,1570421151,72,73.99,9.17
8,Salamiyah,35.01,37.05,6,SY,1570421152,92,60.57,5.41
9,Carmen,7.36,125.71,20,PH,1570421152,62,91.99,6.93
10,Lerwick,60.15,-1.15,100,GB,1570421036,81,50.0,31.09
11,Beringovskiy,63.05,179.32,100,RU,1570421153,98,32.7,32.1
12,Busselton,-33.64,115.35,3,AU,1570421048,33,72.0,8.16
13,Burayevo,55.84,55.41,97,RU,1570421155,59,44.78,11.21
14,Oksfjord,70.24,22.35,100,NO,1570421155,80,41.0,10.29
15,Port-Cartier,50.03,-66.88,90,CA,1570421156,93,44.01,6.93
16,Walvis Bay,-22.95,14.51,0,NA,1570421156,87,48.2,4.7
17,Barrow,-38.31,-60.23,97,AR,1570421157,40,61.34,21.18
18,Jamestown,-33.21,138.6,100,AU,1570421097,69,57.74,12.48
19,Touros,-5.2,-35.46,75,BR,1570421159,78,77.0,11.41
20,Cape Town,-33.93,18.42,20,ZA,1570420851,93,60.01,5.82
21,Omsukchan,62.53,155.8,100,RU,1570421160,93,8.29,7.31
22,Punta Arenas,-53.16,-70.91,20,CL,1570421034,55,39.2,10.29
23,Saint-Philippe,45.36,-73.48,90,CA,1570421052,87,62.01,11.41
24,Norman Wells,65.28,-126.83,75,CA,1570421040,68,30.2,3.36
25,Port Alfred,-33.59,26.89,100,ZA,1570421103,93,64.0,9.4
26,Lipin Bor,60.26,37.97,100,RU,1570421162,93,31.32,7.94
27,Sao Filipe,14.9,-24.5,100,CV,1570421053,87,78.98,15.23
28,Tatarsk,55.22,75.96,18,RU,1570421163,64,51.62,2.3
29,Mataura,-46.19,168.86,90,NZ,1570421046,45,59.61,11.77
30,Port Macquarie,-31.43,152.91,21,AU,1570421166,50,100.99,13.87
31,Puerto Ayora,-0.74,-90.35,8,EC,1570421031,97,64.0,5.99
32,Abu Zabad,12.35,29.25,100,SD,1570421167,81,72.72,5.32
33,Hermanus,-34.42,19.24,32,ZA,1570421038,91,57.0,3.0
34,Tautira,-17.73,-149.15,75,PF,1570421169,74,78.8,8.05
35,Sinnamary,5.38,-52.96,0,GF,1570421169,82,81.55,13.18
36,Kaniama,-7.57,24.18,77,CD,1570421170,92,67.95,2.95
37,Victoria,5.28,115.24,75,BN,1570421061,74,86.0,4.7
38,Chokurdakh,70.62,147.9,100,RU,1570421171,86,21.04,6.35
39,Bredasdorp,-34.53,20.04,0,ZA,1570421025,82,57.2,3.36
40,Salalah,17.01,54.1,40,OM,1570421171,83,78.8,3.36
41,Tasiilaq,65.61,-37.64,79,GL,1570421086,93,39.2,2.91
42,Thompson,55.74,-97.86,75,CA,1570421093,86,37.4,4.7
43,Mahebourg,-20.41,57.7,40,MU,1570421039,88,73.4,13.87
44,East London,-33.02,27.91,75,ZA,1570421124,100,62.6,12.75
45,Tuktoyaktuk,69.44,-133.03,90,CA,1570421030,92,30.2,12.75
46,Boditi,6.95,37.86,31,ET,1570421175,91,60.06,1.59
47,Leningradskiy,69.38,178.42,48,RU,1570421175,74,24.58,4.52
48,Provideniya,64.42,-173.23,90,RU,1570421176,80,35.6,11.18
49,Pringsewu,-5.36,104.98,90,ID,1570421176,57,83.25,4.21
50,Ponta do Sol,-20.63,-46.0,95,BR,1570421177,62,71.78,4.88
51,Nanortalik,60.14,-45.24,0,GL,1570421174,79,40.14,0.94
52,Hobart,-42.88,147.33,75,AU,1570421051,44,57.99,9.17
53,Riyadh,24.63,46.72,54,SA,1570421124,32,80.6,4.7
54,Khatanga,71.98,102.47,0,RU,1570421066,87,22.93,9.04
55,Buala,-8.15,159.59,70,SB,1570421179,76,83.35,11.41
56,Pisco,-13.71,-76.2,90,PE,1570421180,77,63.0,8.05
57,Port Hedland,-20.31,118.58,0,AU,1570421181,62,87.8,14.99
58,Faanui,-16.48,-151.75,100,PF,1570421045,85,77.13,18.1
59,Avera,33.19,-82.53,40,US,1570421182,78,73.99,6.93
60,Bluff,-23.58,149.07,0,AU,1570421025,17,94.17,6.2
61,Karasjok,69.47,25.52,100,NO,1570421183,80,39.2,16.11
62,Ust-Omchug,61.13,149.63,0,RU,1570421183,78,13.48,4.97
63,Kholodnyy,62.72,147.95,0,RU,1570421184,77,9.81,3.65
64,Peqin,41.05,19.75,22,AL,1570421185,93,50.0,2.24
65,Vaini,15.34,74.49,40,IN,1570421060,94,73.4,2.37
66,Cayenne,4.94,-52.33,40,GF,1570421056,100,73.4,4.5
67,Revuca,48.68,20.12,75,SK,1570421186,95,36.0,4.7
68,Salinas,36.67,-121.66,1,US,1570421081,39,70.0,5.82
